group_id,Attributes,Demand,HF.mean,HN.mean,density
1,Corns,none,0.157236422,0.138331418,0
2,Cotton,little,0.259618459,0.29670855,0
3,Grains,none,0.168805836,0.153012568,0
4,Beans,little,0.268583785,0.176093103,0
5,Flowers,modest,0.49545325,0.18975107,0
6,Tobacco,none,0.268399373,0.222063654,0
7,Herbs,none,0.37714837,0.244788596,0
8,Dbl Crop,none,0.267295416,0.296378706,0
9,Oilseed,little,0.434199645,0.191497694,0
10,Alfalfa,none,0.313291555,0.193594026,0
11,Grassland/Pasture,none,0.450428722,0.383345494,0
12,Buckwheat,great,0.371268293,0.209896734,0
13,Root Vegs,none,0.21390243,0.301005964,0
14,Solanums,none,0.322284457,0.201445805,0
15,Other Crops,none,0.312087549,0.271130576,0
16,Vegs & Fruits,modest,0.278332583,0.226602295,0
17,Watermelons,essential,0.320754546,0.197550519,4.5
18,Watermelons with cover crop,essential,0.37075454599999996,0.24755051900000002,4.5
19,Melons,great,0.322335022,0.22753718,1.73
20,Vegs,none,0.254939371,0.221472574,0
21,Raspberries,great,0.441217947,0.303912369,2
22,Raspberries with cover crop,great,0.491217947,0.353912369,2
23,Wildflowers,none,0.752105893,0.27282195,0
24,Grass,none,0.24549423,0.187702018,0
25,Idle Crops,none,0.317106193,0.358061449,0
26,Mixed Forest,none,0.482223419,0.676985046,0
27,Shrubland,none,0.560492743,0.719726597,0
28,Barren,none,0.253280228,0.213039209,0
29,Cherries,great,0.344578281,0.324941214,4.2
30,Cherries with cover crop,great,0.394578281,0.37494121399999997,4.2
31,Orchard,great,0.344578281,0.324941214,1.53
32,Apples,great,0.344578281,0.324941214,3.7
33,Apples with cover crop,great,0.394578281,0.37494121399999997,3.7
34,Grapes,none,0.224126373,0.2836128,0
35,Christmas Trees,none,0.316633697,0.266834521,0
36,Tree Crops,none,0.367659457,0.315017853,0
37,Citrus,little,0.358212334,0.28718199,0
38,Nuts,none,0.227475043,0.266643385,0
39,Almonds,great,0.344578281,0.324941214,6
40,Almonds with cover crop,great,0.394578281,0.37494121399999997,6
41,Open Water,none,0,0,0
42,Wetlands,none,0.483599156,0.193761703,0
43,Developed/Open Space,none,0.488612477,0.323799159,0
44,Developed/Low Intensity,none,0.536726367,0.290735164,0
45,Developed/Med Intensity,none,0.439643198,0.171655787,0
46,Developed/High Intensity,none,0.342894466,0.092345213,0
47,Deciduous Forest,none,0.530005956,0.551721758,0
48,Evergreen Forest,none,0.415253678,0.43861668,0
49,Woody Wetlands,none,0.513648933,0.221259249,0
50,Herbaceous Wetlands,none,0.47352604,0.15601586,0
51,Asparagus,none,0.181167024,0.307837418,0
52,Olives,none,0.223464364,0.377683835,0
53,Strawberries,modest,0.297459371,0.226023918,3.91
54,Cucurbits,essential,0.360610595,0.258825765,2.7
55,Pumpkins,essential,0.360610595,0.258825765,3.8
56,Pumpkins with cover crop,essential,0.41061059499999997,0.308825765,3.8
57,Blueberries,great,0.441217947,0.303912369,7.5
58,Blueberries with cover crop,great,0.491217947,0.353912369,7.5
59,Berries,great,0.441217947,0.303912369,2.25
